iter	RMSE
295	2.721920919
296	2.719656251
297	2.717370405
298	2.715502889
299	2.712101315
300	2.708411646
301	2.706273272
302	2.702370205
303	2.700423493
304	2.697439655
305	2.695710194
306	2.693471966
307	2.691431013
308	2.689688814
309	2.687631419
310	2.685751905
311	2.68218271
312	2.679701498
313	2.676249144
314	2.673821445
315	2.671949443
316	2.667008756
317	2.665145657
318	2.661775765
319	2.659913583
320	2.657858292
321	2.654032184
322	2.652617164
323	2.649640201
324	2.648156787
325	2.646007375
326	2.643399139
327	2.640036617
328	2.6371536
329	2.634430585
330	2.634029568
331	2.631779413
332	2.62690658
333	2.625424829
334	2.624693802
335	2.619549007
336	2.616533814
337	2.614548561
338	2.60997505
339	2.608632123
340	2.606105876
341	2.604273241
342	2.601706067
343	2.599231366
344	2.598157514
345	2.597189378
346	2.592345935
347	2.589010658
348	2.587655767
349	2.586060135
350	2.583124888
351	2.581626673
352	2.578956069
353	2.577041146
354	2.5759065
355	2.573569927
356	2.571787873
357	2.568389439
358	2.564692288
359	2.562444159
360	2.55888711
361	2.556700926
362	2.554976186
363	2.553158207
364	2.550671439
365	2.546775771
366	2.543690542
367	2.541759932
368	2.538755672
369	2.537227068
370	2.536187629
371	2.534011557
372	2.532497035
373	2.531051182
374	2.530824631
375	2.527866907
376	2.52684249
377	2.523820566
378	2.521604919
379	2.519674321
380	2.516727582
381	2.515367278
382	2.512917456
383	2.511286323
384	2.509055754
385	2.505061911
386	2.502868679
387	2.501502707
388	2.499455918
389	2.496710031
390	2.495843778
391	2.493676613
392	2.491329266
393	2.489685211
394	2.488446018
395	2.486521376
396	2.483660515
397	2.482817093
398	2.480890893
399	2.479129315
400	2.476218126
401	2.472302863
402	2.469793751
403	2.466969432
404	2.464184879
405	2.46164061
406	2.460797552
407	2.459753473
408	2.456413085
409	2.454657765
410	2.452915908
411	2.452677405
412	2.451734129
413	2.448879917
414	2.446374482
415	2.446240237
416	2.444622093
417	2.442811587
418	2.440039218
419	2.437283093
420	2.43710293
421	2.435778939
422	2.434016144
423	2.431653244
424	2.429640014
425	2.428393238
426	2.425933752
427	2.423560126
428	2.422822833
429	2.420561415
430	2.420186619
431	2.418034011
432	2.417046708
433	2.414501172
434	2.412723694
435	2.411408827
436	2.409309111
437	2.406134016
438	2.404952176
439	2.402078078
440	2.40109524
441	2.400112665
442	2.398154923
443	2.396163562
444	2.392350985
445	2.389227619
446	2.386663374
447	2.385312807
448	2.382521083
449	2.380751487
450	2.379119671
451	2.376561761
452	2.375519921
453	2.374000358
454	2.372850951
455	2.371738376
456	2.369834955
457	2.36674448
458	2.364577731
459	2.363619433
460	2.36223663
461	2.360015838
462	2.356367469
463	2.354937386
464	2.353220157
465	2.351325934
466	2.34994506
467	2.347090918
468	2.346901444
469	2.344299232
470	2.343658481
471	2.342326294
472	2.339626544
473	2.336902144
474	2.336697001
475	2.333702665
476	2.332530291
477	2.330478849
478	2.32964947
479	2.328397569
480	2.324576776
481	2.32389035
482	2.320627699
483	2.319682492
484	2.319499007
485	2.316929079
486	2.315165156
487	2.313848197
488	2.310996677
489	2.31090341
490	2.308480481
491	2.306058966
492	2.303886682
493	2.301587695
494	2.301380402
495	2.301027029
496	2.298586133
497	2.298456983
498	2.296919457
499	2.295378104
500	2.29242107
501	2.291185301
502	2.288267858
503	2.287517774
504	2.286891379
505	2.285839167
506	2.284005863
507	2.283271843
508	2.281631689
509	2.280708679
510	2.279412944
511	2.276565316
512	2.273451358
513	2.273077156
514	2.272348395
515	2.27130135
516	2.267890869
517	2.265861601
518	2.263473941
519	2.262441857
520	2.259922723
521	2.258470248
522	2.256037457
523	2.25310639
524	2.251704539
525	2.248620361
526	2.247382712
527	2.246448145
528	2.245601558
529	2.24358802
530	2.24217492
531	2.240197383
532	2.237287708
533	2.234603269
534	2.233563552
535	2.231250162
536	2.231066372
537	2.229211406
538	2.227899593
539	2.22467986
540	2.224523432
541	2.223482122
542	2.222429568
543	2.219910784
544	2.217313069
545	2.21459938
546	2.213271831
547	2.212309439
548	2.211094356
549	2.21080887
550	2.209724288
551	2.208413362
552	2.207081488
553	2.204031718
554	2.202140783
555	2.201139929
556	2.199312768
557	2.198316629
558	2.198125434
559	2.196007569
560	2.194959707
561	2.192830623
562	2.190801298
563	2.188496909
564	2.187265491
565	2.185264646
566	2.182906481
567	2.181854003
568	2.179903711
569	2.178707829
570	2.178599063
571	2.17779069
572	2.175514776
573	2.172988428
574	2.171686949
575	2.169378421
576	2.167002758
577	2.164195548
578	2.162071982
579	2.159802484
580	2.157115786
581	2.154916603
582	2.154435075
583	2.152525166
584	2.150027817
585	2.148725302
586	2.1456704
587	2.1454823
588	2.143026057
589	2.140900219
590	2.139309166
591	2.137145935
592	2.136650487
593	2.135984014
594	2.134000811
595	2.133222932
596	2.132957274
597	2.130473401
598	2.128577642
599	2.126586257
600	2.125212021
601	2.12399523
602	2.12386028
603	2.122297451
604	2.121752717
605	2.119359345
606	2.117129292
607	2.115641467
608	2.11371739
609	2.11205861
610	2.110654702
611	2.108847145
612	2.107908391
613	2.105320979
614	2.103461028
615	2.101882926
616	2.100015435
617	2.098894731
618	2.098068054
619	2.096312798
620	2.095018195
621	2.09263001
622	2.091838048
623	2.090172786
624	2.088902948
625	2.088109992
626	2.086939658
627	2.084665159
628	2.08210266
629	2.081863364
630	2.081501072
631	2.080314825
632	2.07935796
633	2.077680369
634	2.076175656
635	2.075140997
636	2.073762534
637	2.071896832
638	2.070020382
639	2.068729825
640	2.067741539
641	2.066936831
642	2.065862452
643	2.064590797
644	2.064358635
645	2.063496191
646	2.063343984
647	2.06057178
648	2.059591669
649	2.058522337
650	2.055494101
651	2.053309751
652	2.051449527
653	2.048777092
654	2.048044906
655	2.045900229
656	2.044844077
657	2.042975876
658	2.040748577
659	2.038263449
660	2.035975117
661	2.033966995
662	2.031955871
663	2.030619962
664	2.029653083
665	2.028807048
666	2.02781517
667	2.027430446
668	2.026065552
669	2.024524876
670	2.022910753
671	2.021313274
672	2.019928811
673	2.018078449
674	2.016884018
675	2.015430608
676	2.01484878
677	2.012740517
678	2.011246056
679	2.009634423
680	2.008145068
681	2.006819745
682	2.006014694
683	2.004092139
684	2.00260329
685	2.000266202
686	1.998447166
687	1.997450613
688	1.996315502
689	1.99441513
690	1.993194362
691	1.991156116
692	1.98850099
693	1.987899794
694	1.985870751
695	1.983992918
696	1.982953872
697	1.981139523
698	1.980664108
699	1.97989157
700	1.977600938
701	1.97699335
702	1.975499157
703	1.974794883
704	1.973413417
705	1.9718273
706	1.970785818
707	1.97005672
708	1.967894336
709	1.967085395
710	1.966154492
711	1.964555565
712	1.963472665
713	1.962587736
714	1.961389419
715	1.959576326
716	1.957979159
717	1.957402652
718	1.955836623
719	1.95488461
720	1.95362365
721	1.951741793
722	1.950928069
723	1.950037575
724	1.948249108
725	1.947796684
726	1.946787184
727	1.944789461
728	1.94458999
729	1.944344136
730	1.942888931
731	1.940606831
732	1.940009299
733	1.93949576
734	1.93828084
735	1.937815474
736	1.936829911
737	1.935787358
738	1.934537721
739	1.933014763
740	1.93206756
741	1.931030177
742	1.929955852
743	1.928108772
744	1.927704227
745	1.926895364
746	1.925737581
747	1.924379363
748	1.921532675
749	1.920496824
750	1.919594846
751	1.917229642
752	1.915511621
753	1.912973415
754	1.912361618
755	1.910702664
756	1.90986365
757	1.908541336
758	1.907700251
759	1.905943229
760	1.905174287
761	1.903337352
762	1.901486677
763	1.8999917
764	1.898320673
765	1.896860048
766	1.895368793
767	1.893762508
768	1.892855133
769	1.891504364
770	1.889997981
771	1.888276225
772	1.887716063
773	1.886697617
774	1.886586844
775	1.885477797
776	1.884661981
777	1.881912719
778	1.880587834
779	1.879855964
780	1.879190681
781	1.878355597
782	1.877258531
783	1.876349298
784	1.876215845
785	1.87583746
786	1.874667014
787	1.873724241
788	1.873550753
789	1.872949342
790	1.87173931
791	1.870915138
792	1.869706349
793	1.86793728
794	1.866258835
795	1.864586944
796	1.86359725
797	1.862653464
798	1.862482426
799	1.862365856
800	1.861582407
801	1.859846659
802	1.859604649
803	1.857912416
804	1.856340664
805	1.855693239
806	1.855165753
807	1.853941973
808	1.853130159
809	1.851608704
810	1.849624282
811	1.847195983
812	1.84584332
813	1.845167751
814	1.844497724
815	1.843189924
816	1.843023791
817	1.841676707
818	1.839569793
819	1.838563216
820	1.837021135
821	1.836311556
822	1.835450948
823	1.834392148
824	1.83399264
825	1.832291279
826	1.831640099
827	1.82992886
828	1.828682547
829	1.827825533
830	1.826350624
831	1.825200368
832	1.82483898
833	1.8230659
834	1.821503548
835	1.820399602
836	1.819226076
837	1.817292948
838	1.815499319
839	1.814660858
840	1.813928255
841	1.812601459
842	1.811204147
843	1.809820394
844	1.808758867
845	1.807927403
846	1.807719147
847	1.806588309
848	1.8056801
849	1.804594568
850	1.804427069
851	1.802997799
852	1.80186168
853	1.800239074
854	1.799402751
855	1.798396001
856	1.797900424
857	1.797305705
858	1.795918565
859	1.795054319
860	1.793338111
861	1.79304476
862	1.792293918
863	1.790096415
864	1.788741715
865	1.787377898
866	1.78695023
867	1.785201359
868	1.784495179
869	1.781716056
870	1.780893787
871	1.780709008
872	1.78019928
873	1.779635569
874	1.776835479
875	1.776525667
876	1.774857501
877	1.774753443
878	1.774249938
879	1.773488116
880	1.77249438
881	1.770989175
882	1.770493211
883	1.768962965
884	1.768158668
885	1.767025762
886	1.766918043
887	1.765559959
888	1.764122442
889	1.762391542
890	1.761774231
891	1.761028584
892	1.760084444
893	1.757804849
894	1.756717286
895	1.756597936
896	1.755691762
897	1.754910965
898	1.754399438
899	1.753143984
900	1.752958654
901	1.75260092
902	1.751347219
903	1.750187921
904	1.749644293
905	1.748706671
906	1.746848122
907	1.745144531
908	1.744373567
909	1.743485567
910	1.742607426
911	1.741216941
912	1.740090218
913	1.739084874
914	1.736839678
915	1.73626911
916	1.734866514
917	1.733561462
918	1.733486567
919	1.731773061
920	1.731028075
921	1.730529076
922	1.729122478
923	1.72750437
924	1.72578238
925	1.724840937
926	1.724711152
927	1.724020421
928	1.722842039
929	1.721773942
930	1.720866746
931	1.720751906
932	1.719484998
933	1.717742488
934	1.717125147
935	1.715852931
936	1.714720249
937	1.713524082
938	1.713230776
939	1.712485382
940	1.711123339
941	1.709470178
942	1.709295697
943	1.708775543
944	1.708034987
945	1.707315272
946	1.7058234
947	1.704355068
948	1.703210909
949	1.701407221
950	1.699511876
951	1.698668151
952	1.697571232
953	1.696365665
954	1.695330825
955	1.694659721
956	1.694198233
957	1.693145811
958	1.692060224
959	1.691122128
960	1.68962222
961	1.688992709
962	1.687652344
963	1.686317097
964	1.685529089
965	1.684493358
966	1.683614278
967	1.682093823
968	1.680822548
969	1.680336125
970	1.679189609
971	1.6780617
972	1.676898513
973	1.675957029
974	1.674702289
975	1.673878424
976	1.673192991
977	1.67310265
978	1.671101989
979	1.67029176
980	1.6696413
981	1.668391742
982	1.668072596
983	1.666502214
984	1.665735647
985	1.665043367
986	1.663902313
987	1.662619978
988	1.661133976
989	1.659444003
990	1.658660741
991	1.658362458
992	1.657504414
993	1.657113405
994	1.656187216
995	1.655480783
996	1.654683269
997	1.654298106
998	1.65287949
999	1.65269548
